image_name,label_true,memeclip_pred,memeclip_prob
b3IhU9Z.png,0,0,0.4241382
Lsjt4TJ.png,0,0,0.43297398
xJiXDnY.png,1,1,0.52011555
ykGRBWn.png,1,1,0.52669936
LAPqPzX.png,0,0,0.4578758
yiS7xVy.png,1,1,0.5312045
WDUgdRk.png,1,0,0.47855917
iOyEYMl.png,0,1,0.50280714
bspb4sM.png,1,1,0.5725536
Wwe2NdZ.png,1,1,0.5277676
EsepD5Q.png,0,0,0.45919976
xOFyAk8.png,1,1,0.53984034
s3iOROE.png,0,0,0.47222993
whhrfSE.png,1,0,0.48539189
WwN5X3R.png,1,1,0.5525557
CW7tNBQU0AIADyq.jpg,0,0,0.39206308
otKSntf.png,1,1,0.5086134
7Q0ReMA.png,1,0,0.4912261
9CYSG3P.png,0,1,0.51091677
Ci45dogWEAA2bSb.jpg,0,0,0.41276243
1iLg1U1.png,0,0,0.49401507
JHF6hFI.png,0,1,0.5339321
CZrwNVe.png,0,1,0.5249209
XMReWCt.png,0,1,0.5468058
uUc4OqX.png,1,1,0.5162737
kzNSl6e.png,1,1,0.5500059
TgSYoWe.png,1,1,0.5189512
qq8wzMR.png,0,0,0.48584884
fyAh3I0.png,0,1,0.50150126
CMQqhImUkAAKeno.jpg,0,1,0.5310781
tINjUCc.png,0,1,0.53947634
eI2N5iQ.png,0,0,0.4634104
8ZOPW62.png,0,0,0.48763144
