image_name,label_true,clipmlp_pred,clipmlp_prob
CfUTJmj.png,0,0,0.33565027
53U5Bca.png,0,0,0.39762777
pyCWWr7.png,0,0,0.3956887
b3IhU9Z.png,0,0,0.37734523
Lsjt4TJ.png,0,0,0.42347696
xJiXDnY.png,1,0,0.43029454
ykGRBWn.png,1,0,0.42471963
LAPqPzX.png,0,0,0.3661865
yiS7xVy.png,1,1,0.5167151
WDUgdRk.png,1,0,0.36042076
iOyEYMl.png,0,0,0.40950912
bspb4sM.png,1,1,0.54331255
Wwe2NdZ.png,1,0,0.4592837
EsepD5Q.png,0,0,0.38414484
xOFyAk8.png,1,0,0.3902286
s3iOROE.png,0,0,0.35807064
whhrfSE.png,1,0,0.4906656
WwN5X3R.png,1,0,0.49174932
CW7tNBQU0AIADyq.jpg,0,0,0.38815093
otKSntf.png,1,0,0.36748302
7Q0ReMA.png,1,0,0.4514541
9CYSG3P.png,0,0,0.44341803
Ci45dogWEAA2bSb.jpg,0,0,0.42565024
1iLg1U1.png,0,0,0.33441302
JHF6hFI.png,0,0,0.47718075
CZrwNVe.png,0,0,0.4229703
XMReWCt.png,0,0,0.468758
uUc4OqX.png,1,0,0.40353864
kzNSl6e.png,1,0,0.44451913
TgSYoWe.png,1,0,0.40687147
qq8wzMR.png,0,0,0.4055233
fyAh3I0.png,0,0,0.40213436
CMQqhImUkAAKeno.jpg,0,0,0.47023806
tINjUCc.png,0,0,0.41112652
eI2N5iQ.png,0,0,0.41469404
8ZOPW62.png,0,0,0.3519071
